ID,問題文,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,正解番号,解説
1,"社会や生活に大きな影響を与えているコンピュータや通信に関する技術を何と呼ぶか。","情報インフラ","情報システム","情報技術","POSシステム",,3,"情報技術（IT）の進展が現代社会の基盤となっています。"
2,"キャッシュレス決済普及の背景にある、通信の高速化や処理速度の向上などの影響を何と呼ぶか。","効率化","高速化","多様化","広域化",,2,"通信の高速化により、大容量のデータを瞬時にやり取り可能になりました。"
3,"販売時点の情報管理を行い、売上管理や在庫管理を高度化するシステムはどれか。","情報システム","情報モラル","情報インフラ","POSシステム",,4,"Point of Saleの略で、レジでの業務を効率化する仕組みです。"
4,"様々な産業への活用が進み、社会に変化を起こしている仕組みそのものを何と呼ぶか。","情報システム","情報技術","情報インフラ","情報モラル",,1,"特定の目的を達成するために、情報を処理・伝達する仕組みです。"
5,"現代社会において欠かせない基盤となっているインターネット環境などを何と呼ぶか。","情報技術","情報システム","情報インフラ","情報モラル",,3,"生活を支える不可欠な基盤としての情報環境を指します。"
6,"情報社会で適切な活動を行うための基になる考え方や態度のことを何と呼ぶか。","情報技術","情報モラル","情報セキュリティ","個人情報保護",,2,"適切な活動を行うための道徳心やマナーを含めた指針です。"
7,"組織が定める、情報の取り扱い方法や手順をまとめた規程を何と呼ぶか。","著作権法","不正アクセス禁止法","個人情報保護法","情報セキュリティポリシー",,4,"組織として一貫したセキュリティ対策を行うためのルールです。"
8,"著作物を創作した者の権利を保護し、文化の発展を目的とする法律はどれか。","個人情報保護法","著作権法","商標法","不正アクセス禁止法",,2,"創作物の無断利用を制限し、著作者を保護する法律です。"
9,"IDやパスワードを悪用して他人のコンピュータに侵入する行為を規制する法律はどれか。","不正アクセス禁止法","著作権法","個人情報保護法","情報セキュリティポリシー",,1,"ネットワーク経由の不正なアクセスそのものを禁じる法律です。"
10,"個人の権利を保護しつつ、情報の有用な活用とのバランスを図るための法律はどれか。","情報モラル","著作権法","個人情報保護法","不正アクセス禁止法",,3,"個人データの適正な取り扱いを義務付ける法律です。"
11,"情報セキュリティポリシーのうち、導入手順など具体的な作業方法を定める階層はどれか。","基本方針","対策基準","実施手順",,,3,"実際の業務においてどのように実行するかを規定する層です。"
12,"情報セキュリティポリシーのうち、部署別のガイドラインなど具体的な判断基準を定める階層はどれか。","実施手順","対策基準","基本方針",,,2,"基本方針に基づき、具体的に何を行うべきかを示す層です。"
13,"情報セキュリティポリシーにおいて、ウイルス対策などの具体的な基準を定める階層はどれか。","対策基準","実施手順","基本方針",,,1,"実施手順よりも広い視点で、組織としての対策基準を明文化する層です。"
14,"情報セキュリティポリシーのうち、情報資産を守る姿勢や目的を示す最上位の階層はどれか。","対策基準","実施手順","基本方針",,,3,"組織のトップが表明する、セキュリティに関する根本的な方針です。"
15,"Webページやブログにおいて、情報の有効な送信対象となるのはどのような人々か。","社内関係者","開発担当者","特定の個人","不特定多数",,4,"インターネットを通じて世界中の誰でも閲覧可能な状態になります。"
16,"発信者自身が所有し、内容を完全にコントロールできるメディアを何と呼ぶか。","アーンドメディア","マスメディア","オウンドメディア","ソーシャルメディア",,3,"自社サイトやブログなど、自らがオーナーの媒体です。"
17,"SNSのように、受け手側も情報を発信できる双方向のメディアを何と呼ぶか。","ソーシャルメディア","マスメディア","オウンドメディア","アーンドメディア",,1,"ユーザー同士の対話や情報共有を基盤とするメディアです。"
18,"ユーザーの信頼や評判を獲得することで、情報の拡散を狙うメディアを何と呼ぶか。","ソーシャルメディア","アーンドメディア","オウンドメディア","ペイドメディア",,2,"信頼や評判を「獲得する」という意味の分類です。"
19,"広告であることを隠し、第三者の感想を装って情報発信を行う不適切な行為はどれか。","ダイレクトマーケティング","バイラルマーケティング","マスメディア","ステルスマーケティング",,4,"消費者を欺く手法として法律による規制の対象となります。"
20,"複数の変数を用いて予測を行う重回帰分析において、モデル作成時に注意すべき現象はどれか。","正規化","標準化","初期化","過剰適合",,4,"手元のデータに合わせすぎて、新しいデータへの対応力が失われることです。"
21,"回帰分析において、予測したい結果となる変数の名称はどれか。","説明変数","独立変数","目的変数","定数",,3,"「何を知りたいか」にあたるターゲットの変数です。"
22,"学習データには適合しているが、未知のデータに対して精度の低い結果が出る状態はどれか。","過少適合","過剰適合","正規化","最適化",,2,"モデルが訓練データに特化しすぎて汎用性がなくなった状態です。"
23,"回帰式に罰則を設けることで、説明変数の影響を抑え過剰適合を防ぐ手法はどれか。","正規化","標準化","正則化","初期化",,3,"モデルの複雑さを制限し、汎用性を高める数学的手法です。"
24,"重回帰分析において、説明変数同士に強い相関関係がある場合に起こる問題はどれか。","多重共線性","因果関係","正規分布","感度分析",,1,"マルチコリニアリティと呼ばれ、回帰係数の推定を不安定にします。"
25,"変数間の重複した情報が計算に悪影響を及ぼし、予測精度を低下させる現象はどれか。","回帰分析","分散分析","多重共線性","主成分分析",,3,"相関の強い変数が混在することで生じる問題です。"
26,"計算機の性能向上と共に発展した、データの解析や処理の手順を何と呼ぶか。","ハードウェア","メモリ","ストレージ","アルゴリズム",,4,"問題を解決するための計算や処理の進め方のことです。"
27,"コンピュータがデータからパターンを自ら学ぶ、解析を行う技術を何と呼ぶか。","アルゴリズム","データマイニング","シミュレーション","機械学習",,4,"人工知能技術を支える中心的な手法です。"
28,"入力データと正解をセットにしてコンピュータに学習させる方式はどれか。","教師なし学習","強化学習","教師あり学習","次元圧縮",,3,"答え（ラベル）がある状態で予測モデルを構築する手法です。"
29,"正解を与えず、データそのものの構造から特徴を見出す学習方式はどれか。","教師なし学習","教師あり学習","強化学習","回帰分析",,1,"クラスタリングなど、データの未知の性質を発見する手法です。"
30,"データの境界を引くことで分類を行う、教師あり学習の代表的なモデルはどれか。","ニューラルネットワーク","サポートベクターマシン","深層学習","ニューロン",,2,"マージンを最大化してデータを2つのグループに分ける手法です。"
31,"脳内にある信号の送受信を行う最小単位の神経細胞を何と呼ぶか。","シナプス","細胞体","ニューロン","ニューラルネットワーク",,3,"生体の神経回路を構成する基本的なユニットです。"
32,"ニューロンの仕組みを数学的に模倣した、データ分析のモデルを何と呼ぶか。","ニューラルネットワーク","アルゴリズム","サポートベクターマシン","深層学習",,1,"神経回路のつながりを再現した計算モデルです。"
33,"ニューラルネットワークを多層に重ね、高度な判断を可能にした学習手法を何と呼ぶか。","機械学習","深層学習","教師あり学習","重回帰分析",,2,"ディープラーニングと呼ばれ、AIの飛躍的進歩を支えています。"
34,"情報システム評価指標RASのうち、「R」ASISが指すものはどれか。","可用性","信頼性","保守性","完全性","安全性",2,"Reliabilityを指し、故障のしにくさを表します。"
35,"情報システム評価指標RASISのうち、R「A」SISが指すものはどれか。","信頼性","可用性","保守性","完全性","安全性",2,"Availabilityを指し、いつでも利用可能な状態であることを表します。"
36,"情報システム評価指標RASISのうち、RA「S」IS（3番目）が指すものはどれか。","保守性","信頼性","可用性","完全性","安全性",1,"Serviceabilityを指し、修理のしやすさを表します。"
37,"情報システム評価指標RASISのうち、RAS「I」Sが指すものはどれか。","完全性","信頼性","可用性","保守性","安全性",1,"Integrityを指し、データが正確であることを表します。"
38,"情報システム評価指標RASISのうち、RASI「S」（5番目）が指すものはどれか。","安全性","信頼性","可用性","保守性","完全性",1,"Securityを指し、不正アクセスへの強さを表します。"
39,"情報システム設計プロセスの正しい順序はどれか。","要件定義→企画→開発→運用","企画→要件定義→開発→運用","企画→開発→要件定義→運用","開発→要件定義→企画→運用",,2,"企画、要件定義、開発、運用の順序で進めるのが一般的です。"
40,"収集データを処理し、必要な場所へ伝達・活用するための仕組み全体を何と呼ぶか。","メディアミックス","情報システム","データマイニング","正規化",,2,"情報を価値あるものとして循環させる仕組みです。"
41,"複数のメディアを組み合わせて、より多くの対象に情報を発信する手法はどれか。","情報システム","重回帰分析","二要素認証","メディアミックス",,4,"異なる媒体の相乗効果を利用する手法です。"
42,"因果関係を前提として、複数の説明変数で1つの目的変数を説明する手法はどれか。","重回帰分析","単回帰分析","感度分析","正規化",,1,"複数の要因から特定の結果を予測する分析法です。"
43,"データベースにおいて、重複を排除し不整合を防ぐためにデータを整理する操作はどれか。","正規化","標準化","感度分析","最適化",,1,"データの冗長性をなくし、効率的に管理するための設計手法です。"
44,"ある変数の変動が解決策などの結果にどの程度の影響を与えるか調べる分析はどれか。","重回帰分析","二要素認証","感度分析","データマイニング",,3,"パラメータの変化に対する結果の「感度」を測定します。"
45,"人間の脳内の神経回路を数学的なモデルで表現した技術はどれか。","メディアミックス","正規化","情報システム","ニューラルネットワーク",,4,"ディープラーニングの根幹をなす数学的モデルです。"
46,"知識、所有物、生体の三要素から、二種類の要素を選んで行う認証方式はどれか。","二要素認証","二段階認証","多段階認証","生体認証",,1,"異なる種類の認証を組み合わせることで安全性を高めます。"
47,"大量のデータから特徴や未知の知識を見出すことを何と呼ぶか。","データマイニング","感度分析","ニューラルネットワーク","情報システム",,1,"膨大なデータから有用な情報を発掘する手法です。"
48,"Pythonにおいて、画面に文字列を表示するための正しい命令はどれか。","hyoji('Hello Python!')","print(Hello Python!)","print('Hello Python!')","output('Hello Python!')",,3,"文字列を表示する際は引用符で囲み、print関数を使います。"
49,"Pythonでキーボード入力を受け取り、変数名「name」に代入する正しい記述はどれか。","input(name)","name = input()","name, input()","name : input()",,2,"input関数で入力を受け取り、変数に代入します。"
50,"Pythonで「a = 11」「b = 2」とした時、「print(a * b)」の実行結果はどうなるか。","11","1111","a*b","22",,4,"アスタリスクは乗算の演算子であり、11×2の結果が表示されます。"
51,"Pythonにおいて、乱数モジュールを読み込む際の正しいキーワードはどれか。","inport random","import random","input random","using random",,2,"モジュールの読み込みには「import」を使用します。"
